,x,,,
267,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
268,"As Trump again spouts lines directly from Putin, Pompeo again tasked with cleaning it up ",,,
269,Anyone else ready to go to jail for #tRump? @GOP,,,
270,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
271,Treasury denies Democrats' request for #Trump tax returns - May 6 @ 8:44 PM ET  ,,,
272,Cartoon: True love ,,,
273,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
274,#tiger and #trump makes perfect sense...,,,
275,Charles Barkley Knocks Trump As #TigerWoods Goes To White House  ,,,
276,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
277,"Trump's InfoWars presidency, and what it means for the media ",,,
